id,text,label,category,confidence,reason
14,"$PFE vaccine sales dropped 58% in Q2 compared to same period last year as pandemic concerns fade.",real,pharmaceuticals,4,"Supported by company earnings reports and public health trend data"
15,"I've discovered a foolproof trading strategy that generates 50%+ returns monthly with zero risk. Limited spots available.",fake,trading,5,"Speculative claim with no verifiable track record or risk disclosure"
16,"Mortgage rates increased for the third consecutive week, with 30-year fixed rates now averaging 6.79%.",real,real_estate,4,"Matches official housing market data from Freddie Mac reports"
17,"EXCLUSIVE: $WMT to acquire major e-commerce competitor for $62B. Stock will double when announced tomorrow!",fake,mergers,5,"Unsubstantiated merger claim with unrealistic financial projections"
18,"Consumer Price Index rose 2.9% year-over-year in July, slightly below economists' expectations.",real,economic_indicators,4,"Aligns with Bureau of Labor Statistics inflation data release"
19,"Chinese yuan weakened to 7.22 against dollar following latest manufacturing PMI data showing contraction.",real,forex,3,"Consistent with PBOC exchange rates and official manufacturing indices"
20,"TOP SECRET: Fed planning emergency 200 basis point rate hike next week due to hidden inflation data. Prepare accordingly!",fake,monetary_policy,5,"Uses alarmist language ('TOP SECRET','hidden data'). Fed doesn't make emergency hikes of this magnitude. Central banks communicate through official channels, not leaks. The urgent tone is typical of manipulation."
21,"$AMZN AWS revenue grew 13% year-over-year, slightly below the 14% growth analysts had projected.",real,earnings,4,"Contains specific, verifiable metrics (13% vs 14%). Information is stated neutrally without sensationalism. Uses standard financial reporting language comparing results to expectations."
22,"My hedge fund friend just told me the big banks are secretly preparing for a market crash next month. Convert to cash NOW!",fake,markets,5,"Claims unnamed insider source. Uses alarmist language with urgent call to action ('NOW!'). No specific data provided. Suggests conspiracy among 'big banks'. Simplistic advice typical of manipulation."
23,"Unemployment rate ticked up to 4.3% in July, with economy adding 175,000 jobs versus expected 190,000.",real,economic_indicators,4,"Contains precise, verifiable economic data. Presents actual figures and expectations for context. Uses neutral language. Modest miss on job growth is normal economic variance."
24,"I've been told directly by company executives that $NVDA will announce a 5-for-1 stock split next week. Buy in before the news!",fake,stocks,5,"Claims illegal insider information. Contains direct investment recommendation. Stock splits are announced through official channels. Promise of profits from upcoming news is classic pump scheme."
25,"ECB maintained interest rates at current levels, signaling potential cuts later this year if inflation continues to moderate.",real,monetary_policy,4,"Reports factual central bank policy. Uses conditional language about future actions. Aligns with typical central bank communication. No dramatic claims or calls to action."
26,"LEAKED: Saudi Arabia planning to abandon USD for oil trades. Dollar will crash 40% by year-end! #petrodollar",fake,commodities,5,"Uses sensationalist language ('LEAKED'). Makes extreme prediction (40% crash) in short timeframe. Such geopolitical shifts aren't implemented suddenly. Hashtag suggests social media manipulation."
27,"U.S. housing starts fell 5.2% in June to a seasonally adjusted annual rate of 1.35 million units.",real,real_estate,4,"Contains specific, measurable data. Uses standard industry terminology. No emotional language or investment advice. Decline is significant but plausible."
28,"$MSFT cloud division revenue increased 19% year-over-year, driving overall company growth despite PC segment weakness.",real,earnings,4,"Provides specific growth percentage. Includes balanced information (growth in one segment, weakness in another). Uses neutral language consistent with earnings reporting."
29,"100% GUARANTEED: $GME will squeeze to $1000 next week as hedge funds fail to cover their positions. All in!",fake,stocks,5,"Uses absolute guarantee language ('100% GUARANTEED'). Predicts extreme price movement with specific timeframe. 'All in!' is irresponsible investment advice. Classic pump and dump language."
30,"Japanese yen fell to 149.8 against the dollar, reaching a 10-month low after BOJ signaled no change to monetary policy.",real,forex,4,"Contains specific exchange rate. Provides context for movement (BOJ policy). Uses measured language ('fell', 'reaching'). Information is verifiable and follows standard forex reporting format."
31,"Just got tipped by my friend at the Treasury - U.S. about to seize all Bitcoin wallets in nationwide crackdown on crypto.",fake,cryptocurrency,5,"Claims insider source at government agency. Makes extreme regulatory claim without official announcement. Such action would be unprecedented. Designed to create panic selling."
32,"Industrial production decreased by 0.2% in July, primarily due to manufacturing weakness in the automotive sector.",real,economic_indicators,4,"Contains specific, moderate percentage change. Provides sectoral context for the decline. Uses neutral language. Data point is precise and plausible."
33,"Buy silver now! Inside sources confirm global shortage and price manipulation scheme about to be exposed. 1000% returns incoming!",fake,commodities,5,"Direct investment command ('Buy silver now!'). Claims conspiracy ('manipulation scheme'). Promises unrealistic returns (1000%). Uses unnamed 'inside sources'. Classic precious metals scam language."
34,"$JNJ pharmaceutical segment sales grew 4.2% while medical devices saw a 2.8% decline in the latest quarter.",real,healthcare,4,"Contains specific, modest growth/decline percentages. Balanced reporting of different segments. No prediction or advice. Standard earnings report language with verifiable metrics."
35,"BREAKING: Warren Buffett liquidating entire stock portfolio according to inside sources at Berkshire. Market crash imminent!",fake,investing,5,"Uses 'BREAKING' to create urgency. Claims unnamed inside sources. Extreme claim about a major investor's complete strategy shift. Predicts market crash. Would be major securities violation if true."
36,"Chicago PMI fell to 44.2 in August, below consensus expectations of 45.5, indicating continued contraction in manufacturing.",real,economic_indicators,4,"Contains specific index value. Compares to consensus expectations. Provides appropriate economic context. Uses measured language about contraction. Standard economic reporting format."
37,"$META announced 12% increase in daily active users and 15% growth in ad impressions during Q2 earnings call.",real,earnings,4,"Cites specific growth percentages. References official source (earnings call). Reports multiple metrics that are verifiable. Uses neutral language typical of earnings coverage."
38,"I have irrefutable proof that major central banks are manipulating gold prices. Price will triple when scandal breaks!",fake,commodities,5,"Claims 'irrefutable proof' without providing any. Suggests global conspiracy among central banks. Predicts extreme price movement (triple). Classic language of gold manipulation conspiracies."
39,"ISM Services Index registered 51.8 in July, slightly above expectations and indicating continued expansion in the service sector.",real,economic_indicators,3,"Reports specific index value. Provides context (above expectations, indicates expansion). Uses standard economic terminology. Modest variation from expectations is plausible."
40,"The biggest short squeeze in history starts tomorrow. $AMC $GME $BBBY all set to explode 500%+ as hedge funds get margin called!",fake,stocks,5,"Makes superlative claim ('biggest in history'). Predicts extreme price movements (500%+) with specific timing ('tomorrow'). References multiple meme stocks. Uses dramatic language ('explode'). Classic social media pump scheme."
41,"European Central Bank's Lagarde: Inflation pressures remain elevated but showing signs of easing in core components.",real,monetary_policy,4,"Attributes statement to specific official. Contains balanced assessment with nuance. No predictions or investment advice. Language consistent with central banker communications."
42,"My uncle works at Nintendo and says they're buying Activision-Blizzard. Both stocks will rocket when announced this Friday!",fake,mergers,5,"Claims familial connection to insider information. Discusses major acquisition that would face regulatory scrutiny. Specific timing prediction ('this Friday'). Promises stock price surge ('rocket'). Classic false rumor format."
43,"Retail sales increased 0.4% in July, beating expectations of 0.3%, suggesting resilient consumer spending despite inflation pressures.",real,economic_indicators,4,"Contains specific, modest percentage. Compares to expectations. Provides reasonable economic context. No predictions or advice. Standard economic data reporting format."
44,"$TSLA just developed revolutionary battery technology that will be announced next week. Range increased 300%, charging time cut by 90%.",fake,technology,5,"Claims revolutionary technology without official source. Cites implausible performance improvements (300%, 90%). Specific timing claim ('next week'). Classic stock promotion tactic for tech companies."
45,"U.S. trade deficit widened to $65.2 billion in June as imports rose faster than exports.",real,economic_indicators,4,"Reports specific deficit amount. Provides context for the change (imports vs exports). No prediction or advice. Uses neutral language. Standard trade data reporting format."
46,"INSIDER INFO: Major class action lawsuit to be filed against $NFLX tomorrow for data privacy violations. Stock will tank 30%.",fake,legal,5,"Explicitly claims to be 'INSIDER INFO'. Predicts specific legal action with timing ('tomorrow'). Forecasts precise stock impact (30% drop). Would constitute securities fraud if true. Classic short-selling manipulation tactic."
47,"Bank of England raised interest rates by 25 basis points to 5.25%, in line with market expectations.",real,monetary_policy,4,"Reports specific rate change (25 basis points) with exact new rate. Notes it matches market expectations. No predictions or advice. Standard central bank action reporting with verifiable facts."
48,"The IRS is planning to tax unrealized crypto gains starting next month. Massive selloff coming! Convert to stablecoins now!",fake,cryptocurrency,5,"Claims major tax policy change without official source. Predicts market reaction ('Massive selloff'). Contains urgent advice ('Convert to stablecoins now!'). Taxation of unrealized gains would require congressional legislation, not just IRS action."
49,"Nonfarm labor productivity increased at a 3.2% annualized rate in Q2, above the 2.8% economists had forecast.",real,economic_indicators,4,"Contains specific percentage with comparison to forecast. Uses standard economic terminology. Modest outperformance is plausible. No predictions or advice. Typical economic data reporting format."
50,"$DIS board secretly planning to oust CEO according to multiple insider sources. Expect major management shakeup announcement soon!",fake,corporate,5,"Claims 'secret' board deliberations based on unnamed insider sources. Predicts specific outcome with timing ('soon'). Board discussions on CEO changes are highly confidential. Classic stock manipulation tactic targeting executive changes."
51,"Japan's GDP expanded at an annualized 1.5% rate in Q2, below the expected 2.2% growth rate.",real,economic_indicators,4,"Reports specific growth rate with comparison to expectations. Uses standard economic terminology. Underperformance is plausible and modest. No alarming language or investment advice. Standard GDP reporting format."
52,"CONFIRMED: China dumping all US Treasury holdings starting tomorrow. Bond market collapse imminent! Protect yourself now!",fake,bonds,5,"Claims to be 'CONFIRMED' without official source. Predicts extreme action ('dumping all') with specific timing ('tomorrow'). Forecasts market 'collapse' and includes urgent advice ('Protect yourself now!'). Such action would be unprecedented and economically irrational."
53,"$INTC delayed launch of next-generation chip manufacturing process, citing technical challenges that need to be resolved.",real,technology,4,"Reports specific company action with stated reason. No extreme claims or predictions. Contains information that would be included in official communications. Uses neutral language. Standard corporate news reporting."
54,"My brother works at an oil company and says they just discovered the largest oil reserve in U.S. history. Price crash coming soon!",fake,commodities,5,"Claims insider information from family member. Makes superlative claim ('largest in U.S. history'). Predicts market impact ('price crash'). Such a discovery would require official verification and disclosure. Classic commodity manipulation tactic."
55,"Small business optimism index declined to 91.5 in July from 93.2 in June, continuing to remain below the 50-year average.",real,economic_indicators,4,"Contains specific index values. Provides historical context (below 50-year average). Reports modest decline. No alarming language or investment advice. Standard economic indicator reporting format."
56,"TOP SECRET: Apple's newest iPhone has critical security flaw that allows complete remote access. Government ordering recall next week.",fake,technology,5,"Uses dramatic language ('TOP SECRET', 'critical'). Claims government action without official source. Predicts specific timing ('next week'). Such a flaw and recall would be announced through official channels. Designed to create panic selling."
57,"$SBUX reported comparable store sales growth of 4.2% globally, with U.S. growth at 5.0% despite inflationary pressures.",real,earnings,4,"Contains specific growth percentages by region. Provides relevant business context (inflation impact). Uses neutral language. Information would come from official earnings report. Standard corporate performance reporting."
58,"JUST LEAKED: Biden administration planning wealth tax of 10% on all assets over $1M to be announced this month.",fake,taxation,5,"Claims to be 'JUST LEAKED'. Describes major policy change requiring congressional approval, not just executive action. Specific tax rate and threshold suggests credibility but lacks official source. Timing claim ('this month') creates urgency. Classic market manipulation using political fears."
59,"German ZEW economic sentiment index improved to -11.4 in August from -12.2 in July, but remained in negative territory.",real,economic_indicators,4,"Reports specific index values with monthly comparison. Provides balanced assessment (improved but still negative). Uses standard economic terminology. Modest change is plausible. Standard economic indicator reporting format."
60,"I have definitive proof that the unemployment numbers are completely fabricated. Real unemployment is over 20%! Media blackout!",fake,economic_indicators,5,"Claims 'definitive proof' without providing any. Makes extreme claim about government data fabrication. Suggests conspiracy ('Media blackout!'). Claims massive discrepancy between official and 'real' figures. Classic conspiracy theory format."
61,"Construction spending fell 0.2% in June compared to expectations for a 0.1% increase, primarily due to weakness in residential projects.",real,construction,4,"Contains specific percentage with comparison to expectations. Provides sector context for decline. Uses neutral language. Modest variance is plausible. Standard economic data reporting format."
62,"My friend at BlackRock confirms they're liquidating all cryptocurrency holdings this week. Crypto crash incoming!",fake,cryptocurrency,5,"Claims insider information from unnamed source at specific company. Extreme action claim ('liquidating all'). Specific timing ('this week'). Predicts market impact ('crash incoming'). Would be securities violation if true. Classic crypto manipulation tactic."
63,"Bank of Japan maintained ultra-loose monetary policy but adjusted yield curve control to allow 10-year government bonds to rise to 1.0%.",real,monetary_policy,4,"Reports specific policy details with exact yield percentage. Uses standard central banking terminology. Contains nuanced policy information (maintained overall stance but adjusted specific mechanism). No predictions or advice. Standard central bank reporting."
64,"BREAKING NEWS: SEC about to announce ban on payment for order flow. $HOOD and other brokers will collapse overnight!",fake,regulation,5,"Uses 'BREAKING NEWS' to create urgency. Predicts extreme regulatory action without official source. Forecasts market impact ('collapse overnight'). Major regulatory changes follow public comment periods, not sudden announcements. Targets specific stocks for manipulation."
65,"Producer Price Index increased 0.3% in July, slightly above the expected 0.2%, suggesting persistent inflationary pressures.",real,economic_indicators,4,"Contains specific percentage with comparison to expectations. Provides measured economic interpretation. Uses standard economic terminology. Modest variance is plausible. Standard inflation data reporting format."
66,"My source at the White House says President is signing executive order tomorrow freezing all bank withdrawals above $1000 due to cybersecurity threat.",fake,banking,5,"Claims White House insider information. Predicts extreme government action that would cause panic. Specific timing ('tomorrow') and threshold ($1000) adds false credibility. Such action would be unprecedented outside of banking crisis. Designed to create bank runs."
67,"$KO reported organic revenue growth of 11% in Q2, driven primarily by pricing increases rather than volume growth.",real,earnings,4,"Contains specific growth percentage. Provides nuanced business context (pricing vs. volume). Information would come from official earnings report. No predictions or advice. Standard corporate performance reporting."
68,"URGENT: Russia and China finalizing agreement to launch gold-backed currency next month to replace USD. Dollar will crash 80%!",fake,forex,5,"Uses 'URGENT' to create alarm. Claims major geopolitical shift without official source. Predicts extreme currency impact (80% crash). Such a shift would require massive infrastructure not deployable in a month. Classic dollar collapse conspiracy theory."
69,"U.S. existing home sales fell 3.1% in June to a seasonally adjusted annual rate of 4.16 million units, the lowest since January.",real,real_estate,4,"Contains specific percentage and annualized rate. Provides historical context ('lowest since January'). Uses standard real estate terminology. Significant but plausible decline. Standard housing market data reporting format."
70,"INSIDE SCOOP: Buffett secretly accumulating $SLV and will announce 20% stake next week. Silver price will explode!",fake,investing,5,"Claims 'INSIDE SCOOP' about famous investor's actions. Describes large position (20%) being built secretly (which would violate disclosure rules). Specific timing ('next week'). Predicts market reaction ('will explode'). Classic precious metals pump scheme."
71,"Weekly jobless claims rose to 231,000, slightly above consensus expectations of 225,000, indicating potential softening in labor market.",real,economic_indicators,4,"Contains specific figures with comparison to expectations. Provides measured interpretation ('potential softening'). Uses standard economic terminology. Modest variance is plausible. Standard labor market data reporting format."
72,"I've just obtained classified Fed documents showing they plan to raise rates to 8% by year end. Bond market will collapse!",fake,monetary_policy,5,"Claims access to 'classified Fed documents'. Predicts extreme rate action (8% would be historically high). Forecasts market 'collapse'. Fed's rate projections are published openly, not classified. Classic bond market manipulation tactic."
73,"$COST reported July net sales of $16.83 billion, an increase of 4.2% from the same period last year.",real,retail,4,"Contains specific sales figure and growth percentage. Uses year-over-year comparison. Information would come from official company report. No predictions or advice. Standard retail sales reporting format."
74,"EXCLUSIVE: Major hedge funds coordinating short attack on $TSLA starting tomorrow. Price target $100 within 30 days.",fake,stocks,5,"Claims 'EXCLUSIVE' information about illegal market manipulation (coordinated attacks). Specific timing ('tomorrow') and price target ($100). Such coordination would be illegal market manipulation. Classic stock manipulation tactic targeting popular stocks."
75,"Australia's central bank maintained interest rates at 4.10% for third consecutive meeting, citing uncertainty in inflation outlook.",real,monetary_policy,4,"Reports specific rate with context (third consecutive meeting). Provides central bank's reasoning. Uses neutral language. Information would come from official announcement. Standard central bank decision reporting."
76,"My uncle at the Treasury confirmed they're planning to confiscate IRAs and 401ks to pay national debt. Market crash incoming!",fake,retirement,5,"Claims family connection to treasury insider. Predicts extreme government action (confiscation) that would be unconstitutional. Uses fear of national debt to create panic. Predicts market impact ('crash incoming'). Classic retirement fear manipulation tactic."
77,"Eurozone manufacturing PMI declined to 46.4 in August from 47.1 in July, marking tenth consecutive month in contraction territory.",real,economic_indicators,4,"Contains specific index values with monthly comparison. Provides longer-term context (tenth consecutive month). Notes contraction (below 50). No alarming language or investment advice. Standard economic indicator reporting format."
78,"LEAKED: Amazon about to announce acquisition of $DASH for $200/share. Buy now before news breaks publicly!",fake,mergers,5,"Claims to be 'LEAKED' information about major corporate action. Specific price ($200/share) adds false credibility. Contains direct investment advice ('Buy now'). Creates urgency ('before news breaks'). Classic merger rumor manipulation tactic."
79,"$V reported payment volume growth of 8% year-over-year, slightly below the 9% growth rate analysts had expected.",real,payments,4,"Contains specific growth percentage with comparison to expectations. Modest underperformance is plausible. Information would come from official earnings report. No predictions or advice. Standard financial performance reporting."
80,"EMERGENCY ALERT: Banking system collapse within 48 hours. Multiple sources confirm nationwide bank holiday coming. Withdraw cash NOW!",fake,banking,5,"Uses urgent language ('EMERGENCY ALERT'). Predicts extreme event with specific timeframe ('48 hours'). References vague 'multiple sources'. Contains panic-inducing advice ('Withdraw cash NOW!'). Classic bank run instigation tactic."
81,"U.S. durable goods orders declined 5.2% in July, primarily due to a sharp drop in transportation equipment orders.",real,economic_indicators,4,"Contains specific percentage decline. Provides sector context for the decline. Uses measured language. Significant but plausible decline with explanation. Standard economic data reporting format."
82,"Just got word from my insider source that Warren Buffett is taking his entire company private next week at 50% premium!",fake,investing,5,"Claims unnamed 'insider source'. Predicts major corporate action from famous investor. Specific timing ('next week') and premium (50%). Such a massive transaction would require regulatory filings before announcement. Classic market manipulation using famous investor's name."
83,"UK inflation rate fell to 3.9% in July from 4.0% in June, still above the Bank of England's 2% target.",real,economic_indicators,4,"Contains specific percentage with monthly comparison. Provides policy context (above 2% target). Reports modest decline. No alarming language or investment advice. Standard inflation reporting format."
84,"BOMBSHELL: All major U.S. banks failing stress tests. FDIC preparing for systematic banking collapse. Convert to physical gold NOW!",fake,banking,5,"Uses dramatic language ('BOMBSHELL'). Makes sweeping claim ('All major banks'). Predicts extreme outcome ('systematic collapse'). Contains specific advice ('Convert to physical gold NOW!'). Stress test results are published officially, not leaked. Classic gold promotion tactic."
85,"$HD reported comparable store sales decline of 2.0% globally, citing continued pressure in big-ticket discretionary categories.",real,retail,4,"Contains specific decline percentage. Provides business context for performance. Information would come from official earnings report. Uses neutral language. Standard corporate performance reporting."
86,"I have definitive proof Tesla's autopilot causes accidents that they're covering up. SEC investigation and massive recall coming!",fake,automotive,5,"Claims 'definitive proof' without providing any. Alleges corporate coverup of safety issues. Predicts regulatory action and 'massive recall' without official source. Such safety issues would be reported to NHTSA, not primarily SEC. Classic stock manipulation targeting safety concerns."
87,"Canadian unemployment rate rose to 5.3% in July from 5.1% in June, as economy shed 6,400 jobs versus expected gain of 21,000.",real,economic_indicators,4,"Contains specific percentages and job numbers. Compares to expectations showing significant miss. Uses neutral language. Provides detailed context. Standard labor market reporting format."
88,"JUST IN: SEC chair to resign amid corruption scandal. Complete regulatory overhaul of crypto coming. Buy $BTC before announcement!",fake,regulation,5,"Uses 'JUST IN' to create urgency. Claims major regulatory development without official source. Predicts specific regulatory direction. Contains direct investment advice ('Buy $BTC'). Links unrelated events (resignation and crypto regulation). Classic crypto pump tactic."
89,"$TGT reported comparable sales decline of 0.7% in Q2, with digital comparable sales declining 4.9% year-over-year.",real,retail,4,"Contains specific decline percentages across channels. Uses standard retail metrics. Information would come from official earnings report. No predictions or advice. Standard corporate performance reporting."
90,"TOP SECRET: China to announce complete ban on Australian imports starting next week. AUD will crash 30% immediately!",fake,trade,5,"Uses dramatic language ('TOP SECRET'). Predicts extreme trade action ('complete ban'). Specific timing ('next week'). Forecasts currency impact with specific percentage (30%). Such major trade actions are telegraphed through diplomatic channels. Classic forex manipulation tactic."
91,"New home sales increased 4.4% in July to a seasonally adjusted annual rate of 739,000 units, above expectations of 705,000.",real,real_estate,4,"Contains specific percentage increase and annualized rate. Compares to expectations. Uses standard real estate terminology. Modest outperformance is plausible. Standard housing market data reporting format."
92,"BREAKING: $AAPL found guilty of massive tax fraud in EU investigation. $30B fine to be announced tomorrow!",fake,legal,5,"Uses 'BREAKING' to create urgency. Claims major legal finding without official source. Specific fine amount ($30B) adds false credibility. Specific timing ('tomorrow'). Tax cases take years to resolve with appeals processes. Classic stock manipulation targeting legal concerns."
93,"U.S. consumer confidence index fell to 95.3 in August from 101.0 in July, reflecting concerns about inflation and job market.",real,economic_indicators,4,"Contains specific index values with monthly comparison. Provides relevant economic context for decline. Uses measured language. Significant but plausible decline. Standard economic indicator reporting format."
94,"I've just learned that major banks are freezing crypto exchange accounts next week. Massive liquidity crisis incoming!",fake,cryptocurrency,5,"Claims privileged information without source. Predicts coordinated action across 'major banks'. Specific timing ('next week'). Forecasts market impact ('massive liquidity crisis'). Such coordinated action would raise antitrust concerns. Classic crypto fear manipulation."
95,"$WMT e-commerce sales grew 24% year-over-year, driving total comparable sales growth of 6.4% in the most recent quarter.",real,retail,4,"Contains specific growth percentages across channels. Shows relationship between segments. Information would come from official earnings report. No predictions or advice. Standard corporate performance reporting."
96,"INSIDER INFO: Bill Gates just bought 5% stake in GameStop. Short squeeze starting tomorrow will send price to $500!",fake,stocks,5,"Explicitly claims 'INSIDER INFO'. Links famous investor to meme stock. Claims significant position (5%) that would require SEC filing. Predicts specific price movement ($500) with timing ('tomorrow'). Classic pump scheme using celebrity investor name."
97,"OPEC+ agreed to extend production cuts through end of year, maintaining current output reductions of 3.66 million barrels per day.",real,energy,4,"Reports specific production cut amount and timeframe. Information would come from official OPEC+ announcement. Uses neutral language. No predictions or market impact claims. Standard energy policy reporting format."
98,"My source at FDA confirms they'll pull approval for Moderna vaccine next week due to newly discovered side effects. Stock will crash!",fake,pharmaceuticals,5,"Claims FDA insider information. Predicts extreme regulatory action without official process. Specific timing ('next week'). Forecasts stock impact ('will crash'). FDA vaccine reviews involve public advisory committees. Classic pharmaceutical stock manipulation."
99,"Brazil's central bank cut interest rates by 50 basis points to 13.25%, in line with market expectations amid slowing inflation.",real,monetary_policy,4,"Reports specific rate change (50 basis points) with exact new rate. Notes alignment with expectations. Provides economic context (slowing inflation). No predictions or advice. Standard central bank action reporting."
100,"URGENT: IMF document leak shows global banking reset scheduled for October 1st. All dollar-denominated assets to be devalued 40%!",fake,banking,5,"Uses urgent language ('URGENT'). Claims access to leaked IMF documents. Predicts extreme global financial action with specific date. Forecasts massive devaluation (40%). IMF has no authority to implement such actions. Classic financial conspiracy theory format."
101,"UK retail sales increased by 0.5% in July from June, beating expectations for a 0.2% rise, suggesting resilient consumer spending.",real,retail,4,"The statement is consistent with official economic data releases and reflects typical retail sales reporting."
102,"JUST LEAKED: $AMZN to announce 15% workforce reduction next week. Earnings miss catastrophic. Sell immediately!",fake,technology,5,"The language is sensational and lacks credible sourcing. Large-scale layoffs are typically announced through official channels, not leaks."
103,"$WBA reported front-end comparable sales decrease of 2.4% in fiscal Q3, driven by lower discretionary spending by consumers.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible consumer behavior trends."
104,"Inside sources confirm the SEC will approve Bitcoin ETF next week. BTC will hit $100K before month end. Last chance to buy cheap!",fake,cryptocurrency,5,"The claim is speculative and lacks credible evidence. Price predictions like '$100K' are unrealistic and unsupported."
105,"India's manufacturing PMI fell to 57.5 in July from 58.3 in June, still indicating robust expansion despite the slight moderation.",real,economic_indicators,4,"The data matches official PMI reports and is consistent with economic trends."
106,"BREAKING NEWS: Massive accounting fraud uncovered at $MSFT. CEO to resign amid investigation. Sell before markets open tomorrow!",fake,corporate,5,"The claim is sensational and lacks credible sourcing. Such significant news would be reported by reputable outlets first."
107,"Euro area inflation edged up to 3.1% in August from 3.0% in July, slightly above economists' expectations of 3.0%.",real,economic_indicators,4,"The statement aligns with official inflation data releases and is plausible."
108,"My friend at the White House says national digital currency launching next month with 20% automatic tax on all transactions!",fake,cryptocurrency,5,"The claim is speculative and lacks credible sourcing. Major policy changes like this would be announced officially."
109,"$LOW comparable sales decreased 2.2% in Q2, with Pro customer comparable sales declining more than DIY sales.",real,retail,4,"The statement is consistent with typical earnings reports and reflects plausible sales trends."
110,"JUST IN: OPEC+ secretly planning 50% production cut according to Saudi insider. Oil prices will triple within 30 days!",fake,energy,5,"The claim is sensational and lacks credible sourcing. Such drastic actions would be publicly announced."
111,"Mexico's central bank held its benchmark interest rate steady at 11.25%, in line with most economists' expectations.",real,monetary_policy,4,"The statement matches official central bank announcements and is plausible."
112,"LEAKED DOCUMENTS: IRS planning to audit all crypto transactions over $600 starting next month. Mass seizures coming!",fake,cryptocurrency,5,"The claim is sensational and lacks credible sourcing. Major policy changes like this would be announced officially."
113,"$UPS reported average daily package volume decreased by 2.7% domestically and 2.9% internationally during Q2.",real,shipping,4,"The statement aligns with typical earnings reports and reflects plausible shipping trends."
114,"My brother works for the Fed and says they're planning emergency rate hike to 8% next week. Bond market collapse imminent!",fake,monetary_policy,5,"The claim is speculative and lacks credible sourcing. Such drastic actions would be announced officially."
115,"South Korea's exports rose 3.1% year-on-year in July, marking the tenth consecutive month of growth despite global headwinds.",real,trade,4,"The statement matches official trade data releases and is plausible."
116,"BREAKING: Warren Buffett diagnosed with serious illness. Berkshire stocks to crash as succession plan in question!",fake,investing,5,"The claim is sensational and lacks credible sourcing. Such significant news would be reported by reputable outlets first."
117,"$HD reported average ticket increase of 1.3% in Q2, reflecting inflation in certain categories but offset by customers trading down.",real,retail,4,"The statement aligns with typical earnings reports and reflects plausible consumer behavior trends."
118,"INSIDER ALERT: NVIDIA chip design found to have critical hardware flaw. Recall of all RTX 4000 series imminent. Sell now!",fake,technology,5,"The claim is sensational and lacks credible sourcing. Such significant news would be reported by reputable outlets first."
119,"Philadelphia Fed manufacturing index improved to 0.2 in August from -13.5 in July, moving into expansion territory for first time in 13 months.",real,manufacturing,4,"The statement matches official economic data releases and is plausible."
120,"My source at Treasury confirmed complete ban on gold ownership coming similar to 1933. Executive order being prepared now!",fake,precious_metals,5,"The claim is speculative and lacks credible sourcing. Major policy changes like this would be announced officially."
121,"$CAT reported a 16% decline in dealer inventories during Q2, signaling caution among dealers about future demand.",real,manufacturing,4,"The statement aligns with typical earnings reports and reflects plausible inventory trends."
122,"URGENT: Major market makers defaulting on crypto exchanges. Complete liquidity freeze coming within 48 hours. Withdraw now!",fake,cryptocurrency,5,"The claim is sensational and lacks credible sourcing. Such significant events would be reported by reputable outlets first."
123,"Australia's GDP grew 0.2% quarter-on-quarter in Q2, below expectations of 0.3%, indicating economic momentum is slowing.",real,economic_indicators,4,"The statement matches official GDP data releases and is plausible."
